,S&P 500,S&P 500 daily exposure,S&P/Gold/BTC 60/30/10 daily exposure,Static HMM daily exposure,Static HMM/Gold/BTC 60/30/10 daily exposure,Static HMM with momentum/Gold/BTC 60/30/10 daily exposure
2025-05-01,32496.408653716626,18189.89270576445,36187.01892166971,32327.91917122404,38062.48067986176,51258.53558145857
2025-05-02,32978.79318551248,18349.756577006716,36506.41104717514,32697.86319663336,38388.68368602862,51793.02823202492
2025-05-03,32978.79318551248,18349.756577006716,36467.03488537193,32697.86319663336,38347.118404642504,51737.033936931024
2025-05-04,32978.79318551248,18349.756577006716,36406.098644365666,32697.86319663336,38282.79441042753,51650.380446479874
2025-05-05,32789.67948199837,18132.726079271753,36241.15247239866,32229.709603513027,38057.46178144079,51339.38734038687
2025-05-06,32515.616384226454,17970.635787796407,36370.78771926328,31963.007274015617,38214.215274249706,51545.95803477966
2025-05-07,32652.355165198333,17931.653275780984,36110.418986615376,31957.734011049713,37939.32231970974,51237.34087098756
2025-05-08,32879.87355299907,18062.46737943143,36338.29458572945,32157.70485493003,38140.40290327708,51528.85023039305
2025-05-09,32837.97720720963,18112.775389080543,36596.39684179801,32310.251947195804,38415.14998160994,51955.69926067529
2025-05-10,32837.97720720963,18112.775389080543,36662.22420992419,32310.251947195804,38484.63702538902,52049.308106924276
2025-05-11,32837.97720720963,18112.775389080543,36639.716752602995,32310.251947195804,38460.878264910614,52017.30170636764
2025-05-12,33923.1870391824,18494.494568318532,36664.31579031128,32654.171072256922,38276.741807450904,51728.22340895719
2025-05-13,34147.21376548032,18825.1097345492,37342.69722221116,33175.06082376767,38482.76859706983,52625.48293591514
2025-05-14,34190.855942021175,18736.333422566207,36930.73667671801,32690.234710077446,37978.89869487779,51727.90773949166
2025-05-15,34357.85578935079,18958.242446260872,37434.94840546846,33334.19065096915,38364.50649091634,52681.11044464975
2025-05-16,34575.48113622688,18929.99012643261,37150.71807157026,33287.364422465216,38207.35644567604,52280.47347588513
2025-05-17,34575.48113622688,18929.99012643261,37139.30025304988,33287.364422465216,38195.303852993515,52264.236934021195
2025-05-18,34575.48113622688,18929.99012643261,37263.927073331426,33287.364422465216,38326.85930725917,52441.46068138221
2025-05-19,34613.303876929705,18952.981321013893,37414.7465561945,33276.934034117876,38558.795935350616,52606.63154294924
2025-05-20,34496.922344657876,18847.133609000153,37468.045510400676,33149.07099319272,38623.1973775629,52741.209112041055
